Rating,Review
0,"Нам не понравился этот рецепт.Мы закончили тем, что выбрасывали его."
1,"Это было так легко сделать и оказалось супер!Большое спасибо, Диана!"
1,"Это было так легко и вкусно, мои дети сходили с ума и хотят каждую неделю."
1,"Это идеальный рецепт, потому что он простой, но вкусно.Даже моему придирчивому парню понравилось блюдо."
1,"очень хороший рецепт.попробовал это для вечеринки, и все просили больше.очень просто."
0,"Слишком сладкий, в следующий раз, когда я могу попробовать это, используя половину чистого кленового сиропа и половину воды"
0,Эта капуста была настоящей но не обладала ярким ароматом.
1,"Просто самый идеальный шоколадный торт на свете!Определенно стоит времени, чтобы сделать снова и снова."
1,Этот рецепт сырного шарика также красив с небольшим количеством дренированного измельченного ананаса ...
0,"мягкий мягкий, прочитайте отзывы ... все внесли изменения, а затем рассмотрели свои изменения"
0,Вустерширский соус не веганский ... Я предлагаю ленточное масло.
1,Превосходное блюдо с комфортной едой!
0,"Извините, что мне пришлось выбросить это.Моей семье не нравился чрезмерный вкус горчицы."
0,Неполезно соленый.Я выбросил это.
0,"Чего -то не хватает, я даже не мог сделать этот рецепт, потому что это была сухая смесь без жидкостей"
0,"Это ужасно.жирная, как может быть.Из вкуса домашнего журнала."
0,"Хотел наслаждаться этим, но у меня вообще не было вкуса.Компост -мусорная корзина наслаждалась этим, простите."
0,"wyyyyyyyyyy слишком много выпечки, я не мог заставить их затвердеть, слишком хлопьев"
0,"Я сделал это, как описано, но это не был хитом с моей семьей."
1,"Если вам нравятся устрицы, это отличная альтернатива регулярной, скучной начинке."
0,В итоге выбросил всю партию.Текстура и вкус были ужасные.
0,Моя семья заставила меня пообещать никогда не делать это снова.не хорошо.
0,"Мы последовали за рецептом до T, но он вышел из -за неправильной последовательности и не имел вкуса!"
0,Этот рецепт на вкус как соленый тесто.
1,Легко сделать и вкусно!
1,"Это абсолютно замечательно!Я мог бы съесть это каждое утро!Там, или, конечно, не было остатков :)"
1,"Мы наслаждались этим тортом, на следующий день он был лучше, аромат казался более отличительным.сделает снова."
1,Я использовал сливки курицы вместо грибов и был очень хорош.
0,"Я даю этот рецепт 1. Было легко собрать и готовить, но у лосося не было никакого вкуса."
1,"мошенничество?кого это волнует !! ... это хорошо вкусный ... лол
не использовал просящую муку, и она все еще на вкус yum =)"
0,Пепперончини перец и рассол разрушает все это.Делает это неразученным !!
0,"Этот рецепт мягкий!и скучно.Даже с некоторым более интересным сыром, чем чеддер все еще вышел хромым."
1,ух ты!Подается с ложкой взбитых сливок.небесный.
1,"вкуснотища!Они были намного лучше, чем домик Toll.Я бы ничего не изменил в этом рецепте.Спасибо, Элизабет!"
1,"Я использовал это на свежем свежее лосось из Сиэтла, и моим друзьям, не любимым любимым, любили его."
1,Это было очень легко сделать и на вкус фантастически.Это определенно становится летней традицией в моем доме.
0,"Нам это не понравилось.до большого хлеба, до небольшого аромата."
0,"Как спросили, раньше.Как долго они должны сидеть.Я - новое в этом.Спасибо"
1,Это отличный торт.Нам понравилось!
1,"Абсолютно замечательно, обязательно попробовать."
0,"Юко!Ненавижу говорить это, но это было ужасно ... никто из наших гостей это, и я был смущен, чтобы служить этому!"
1,"хотел бы миндаль сверху с брызгами. Как моя мама, сделанная в Великобритании.Спасибо за напоминание."
0,"Моя вина, я полагаю.Я закончил с супом из чизкейка ... Я использовал без жирного подслащенного сгущенного молока ..."
1,"Отлично, хотя для личного вкуса я бы использовал только одну ложку уксуса"
1,"Они были абсолютно невероятны на обед.Это было здорово, потому что их было легко сделать и быстро."
0,Это заставило меня съежиться.Затем я выплюнул его в раковину.
0,"Хотя это было легко сделать, я не был фанатом.Это было очень мягко и неприятно."
0,следовал рецепту точно.Это было съедобно.
0,меловая и не ароматная.Очень посредственно.
1,это было здорово!Я разрезал рецепт пополам и использовал филе трески.Просто потрясающе!Спасибо!
0,Моя оказалась ужасной с резиновой текстурой.
1,"Действительно действительно хорошие, сладкие блины.Определенно снова будет использовать этот рецепт."
1,Очень легко и быстро сделать.Вместо этого я использовал 10 унций брокколи.
1,"Отличный рецепт.Я заменяю Splenda на сахар.Спасибо, что поделился."
1,Этот рецепт был превосходным - очень понравился Спасибо !!!!!!!!!!
1,Очень сливочный и хороший.
1,"Они не были плохими, но в следующий раз я добавлю в него бекон для немного большего вкуса."
0,"Не хороший рецепт.Чтобы сделать желе, вы должны добавить пектин.Следуйте этому рецепту для сиропа гуавы."
0,Концентрат был слишком сильным.Свежий вкус арбуза был потерян.
0,"Подготовлен, он выглядит хорошо, вкус - это плохой."
1,Очень вкусно!Легко сделать тоже.
1,Это потрясающе!Запах во время выпечки заставит вас с ума.они великолепны.Какая комбинация-чистота и мята.
1,"Этот соус потребовался немного работы, но стоил усилий.Yum !!!"
1,"Я немного снизил этот рецепт, чтобы исправить свою семью.Это было очень легко сделать и на вкус чудесно!"
0,Почему столько натрия в ваших рецептах?Не хорошо для нас.
1,Отличный рецепт!Я хотел бы поставить ноги под стол Джойс ...!Линда
1,Звучит восхитительно !!!! Я помню дом сейчас;)
0,"Мне не понравился этот рецепт, без вкуса"
0,"Соус был в порядке после того, как я нагревал его чрезмерно, но Wontons были ужасны и определенно не должны кипеть."
1,ух ты!Этот стоит этой работы!Спасибо
0,"Извините, это просто мой личный вкус.Я думаю, я обнаружил, что предпочитаю рикотту в лазанье, а не спагетти ..."
0,"Это всего лишь все, купленные в магазине.Это не творческий."
0,"Моей семье это не понравилось, извините.Мне даже пришлось выбросить это.Я попробую другой соус, спасибо все равно"
1,"вкусно и легко.Я использовал кварталы ног, и это было очень вкусно !!!"
1,"Очень легко и вкусно!Я использую круглую запеканку, так что она готова перейти к праву
прочь!"
0,"Это вообще не сработало.Это было так солено, что я едва мог получить 1 вниз."
1,"Ммм, очень хороший способ приготовления спаржи."
0,Мне не нравился этот рецепт ... они не были на самом деле жареными ... они были в порядке ... но не о чем хвастаться.
1,"Простой, но вкусный рецепт"
1,"Если вы хотите, чтобы Peach и Melon были в салате, вы должны попробовать этот салат, это очень хорошо!"
1,лучшее!!Я буду использовать этот рецепт!Спасибо!
1,"Мне это рекомендовали, и это было восхитительно."
0,трата времени и ингредиентов.
1,"Я так рад, что у меня есть этот рецепт, и спасибо за то, что поделились им!"
0,Монте -Кристо?нет!
0,Это мягкое.я предпочитаю маслом с маслом & amp;Соленый ухо из сладкой кукурузы и хорошего запеченного картофеля.
1,Очень легко и вкусно.Добавление немного соевого соуса дает немного дополнительного удара.
1,"Всего нокаутируется.

Прямо сделать и приятно есть.Мне жаль всех этих цыплят!"
1,очень понравилось!Спасибо.
1,"Я немного скептически относился к этому, но это было восхитительно !!Я буду есть такую клубнику все время!"
0,Они не полностью жарили посередине и имели резиновую текстуру после охлаждения
1,Я сделал соус спагетти с этим и посыпал на чесночный хлеб.Отлично нет соли.
0,"Искусственный сыр, искусственный соус и замороженный картофель фри?Так же ужасно, как вы думаете."
1,"Определенный 5*, будет в наших меню барбекю в течение нескольких месяцев!"
1,Мы с Муженем очень понравились.легко сделать.
0,"Моя семья говорит, что эта кукуруза была тяжелой, и я позаботился о том, чтобы не переваривать."
0,Это не имело абсолютно никакого вкуса.
0,Лимон/белое вино было подавляющим и стало горькой курицы.Определенный нет
1,вкусный.Для вариации я использовал два английских огурца вместо 3 обычных огурцов и опытный рисовый уксус.
0,"Как написано, с 1 1/2 стакана муки, тесто тает и распространяется.Не попытался бы снова попытаться."
0,"Возможно, это наименее шведская версия этого блюда, которую я когда -либо видел."
1,Я вдвое сократил этот рецепт и сделал его вместе с южной партийной картошкой Кристины.У меня не было остатков!потрясающий!!
1,"Этот рецепт легкий, быстрый и вкусный!Я получил много восторженных на этом!"
0,ужасный!сделал небольшой вкус.Вкус тофу был ужасным !!Выплюнуть и выбросить остальное !!
1,Это оооочень круто!И очень легко сделать !!
0,Это неполный рецепт.Сколько яичных белков?Что еще не хватает?
1,Это было абсолютно вкусно.
0,"Эти печенья не оказались мягкими, и им понадобилось вечно, чтобы приготовить."
1,Эти свиные отбивные восхитительны.Соус должен умереть за!
1,"Этот рецепт был очень легким.Это здорово для ужина в субботу вечером, моей семье очень понравилось."
1,"Вы бы даже не узнали, что это цуккини.Одурачил моих детей!"
1,"Замечательно ... Легко ... весело ... нам это нравится.Вы не можете пойти не так ... с ним был салат.

Спасибо"
1,"очень хорошо и вкусно ...... простое блюдо, которое дает удовлетворение
Спасибо"
1,"занимает всего тридцать минут, и они хороши."
1,"Очень простой, отличный вкус.В следующий раз я буду использовать подготовленную корку Graham Cracker."
1,Я сделал это на ужин в День Матери.Это был большой и вкусный сюрприз!
0,"Чтобы получить реальные преимущества свеклы, они должны быть сырыми."
1,"Очень хорошо, быстро и так просто .. мне это понравилось !!"
1,очень вкусно.Даже детям это понравилось!
0,"Рецепт даже не близок к традиционному кантонскому рецепту.Извините, не делает оценку !!"
1,"немного времени, но результаты приятны. Хороший вкус, а курица была довольно нежным. Но немного острое для детей."
1,"это здорово !!!!Я пропустил соль, но добавил ложку сыра моцареллы.замечательный."
1,"Отличный аромат, простой в приготовлении, держит курицу влажной!"
0,Это не рецепт равиоли с лобстерами!Это рецепт для соуса !!
1,"Исключительный торт !!!!Очень вкусно, всем просто понравилось это на работе.Все они хотели рецепт.Легко сделать тоже !!!!"
1,"Любили это!Они похожи на кексы, но это действительно замечательные, пушистые булочки ужина.Они будут часто на нашем столе."
0,Лично я нашел это сухим.Я бы никому не рекомендовал это.
0,"Худший SnickerDoodles, который я когда -либо делал сухой сухой"
0,это было ужасно!
1,"освежающий в теплый, приятный вечер"
1,"Это было очень легко сделать, и всей нашей семье это понравилось!"
0,"Я ненавидел это, но это дало мне отличную оценку в классе испанского языка."
1,Эти очень свежие и вкусные груши сделали отличный десерт.Спасибо за рецепт.
1,"Лучший пирог с орехом пекана, который у меня когда -либо был.Это лучше, чем у моей южной мамы."
1,"Я порезал лук наполовину, слегка обжаривал и использовал чесночный ароматный рисовый уксус - вкусно!"
1,"Это лучший рецепт запеченных бобов, который когда -либо использовала наша семья.Спасибо, что поделились этим рецептом."
0,Слишком много Вушесширского соуса.Может быть хорошо со стейком.Это вообще не было на вкус японца.
0,"Следовал за указаниями и должен сказать, что я предпочел бы есть без сахара липких медведей.очень брутто."
0,"толстый йогурт, в отличие от чего?тонкий?Сколько рикотта?Плохой дизайн рецепта ..."
1,"Спасибо Ану - именно то, что я искал."
0,"Колбаса была слизистой!Я не думаю, что буду повторять это."
1,"это круто!Я очень рекомендую этот рецепт всем, у кого есть дети, они поглотили его!"
0,последовал за этим рецептом буквы .... это не хранитель.
1,"Я использую фарш -чеснок, поэтому вам не нужно беспокоиться о том, чтобы все это пюре."
0,"Не то, что я ожидал.Это было очень, очень сухо."
0,"Это было не очень ароматно, а 1 час - это слишком длинное для 1 фунта грудной клетки чкикена.Извините, не любимый."
0,"просто ужас.И да, я следовал инструкциям."
0,Вкус был немного не
1,Это было очень забавно читать и удивительно вкусно есть!
0,Это даже не близко.Тмин дает это особый вкус неаккуратного Джо.выносливыйНе тратьте свое время.
1,"Быстро и легко подготовить, довольно вкусно.Я сделаю это снова."
1,"очень хорошо, легко следовать"
0,"Нет количеств для CINN, мускатного ореха или других специй."
0,"Я не суп и не тушеные человека в целом, но это было восхитительно."
1,Очень хорошо и очень легко!Все это очень понравилось!Спасибо
1,Это было восхитительно!
0,На вкус как блины с глазурью.Также получил только 12 кексов.Они также были плотными.
0,Этот рецепт был очень разочаровывающим.Они были пустой тратой времени и денег.Я не сделаю их снова.
1,"Моя мама - лучший повар в мире!Добавьте больше чеснока, когда вампиры задают проблему!люблю тебя."
0,Я не заботился о вкусе этого.
0,"Красная капуста не квашеная.

Это следует называть красной капустой со пряными фрикадельками."
0,не понравился ли этот рецепт .....
0,"Поместите альтернативные измерения для ингредиентов, то есть унций или граммов."
1,Это было довольно красиво.С кленовым сиропом у них был только правильный намек на сладость.хорошая вещь!
0,Я не заботился об этом рецепте .. он казался довольно сухим.Я могу попробовать еще раз и добавить немного молока.
0,"Плохой действительно вкус, как резиновые 7 пакетов желатина слишком много"
0,"Это было так солено, что я едва мог съесть это.Может быть, в следующий раз, когда половина куриного бульона и вместо этого добавьте воду."
1,"очень *более *моя дочь любила их, семена кунжута придают приятный вкус и хруст"
1,Абсолютно вкусно и очень легко!
1,Это отличный рецепт ... Я также добавляю тонко нарезанный лук и немного бекона или ветчины для большего вкуса.
1,"выглядит аппетитно!Я попробую это в следующий раз, когда я хочу передозировку сахара!"
0,"Сделал это сегодня.Слишком много чесночного порошка.Я использовал только 1/2 т.Не думаю, что я сделаю это снова."
0,Они вышли сухими.очень сухой
0,"Этот рецепт был недавно напечатан в LA Times с более подробной информацией: http://www.latimes.com/features/food/la-fo-calcookrec6-2aug06,0,4793488.story?coll=la-линии"
0,"Я только сделал бургер, но я думал, что они ужасны.извини."
0,Я также следовал рецепту точно и получил рассыпчатую смесь.не сработал для меня.
0,Этот торт похож на сладкий кукурузный хлеб.Эххх
1,"Маффины из капучино подавали на недавнем позднем завтраке, на котором я посетил, и они абсолютно вкусные!такие разные!суби"
1,Мне очень понравился этот суп.Это было довольно легко сделать и на вкус.
0,Какая соль ???
0,"это было нормально, но очень просто"
1,"Вкусный, вкусный, вкусный, это было вкусно !!Я никогда не думал, что блины могут на вкус!Спасибо за рецепт!"
0,прилипает к зубам .. Юк
0,Вообще нет вкуса бобов.
1,Я заменил 1 коробку с шелковым пирогом Jell-O на один из слоев мусса.Какой абсолютно замечательный десерт !!!
1,Это делает меня толстым!
0,Нам просто это не понравилось.
0,"так надоело видеть одни и те же рецепты снова и снова ... мы получаем это, идем дальше"
1,Для меня басмати рис - лучший.Вместо воды я использую куриный бульон.это добавляет немного больше вкуса
0,Не совсем хит у кого -нибудь в доме ..... извините
0,"Это было ужасно.Все это масло делает его таким жирным.Я бы дал это меньше одного, если это возможно."
0,"вообще не будет на вкус, как майонез"
1,"Отличный вкус.Имел это с картофельным пюре, брокколи на пару и моркови.Сделает больше соуса в следующий раз.ржу не могу :)"
0,"девять минут?Конечно, если вы хотите, чтобы ваш картофель окаменел."
0,"ммм, я ненавижу 2, скажи это, но это вышло просто ужасно ... не будет делать снова"
1,"Я добавил цветную капусту и грибы.Все, кто попробовал этот рецепт, дали ему пять звезд."
1,Удивительно легкая текстура.вкусный
1,"Я сделал это сегодня вечером, и всей моей семье это понравилось.действительно комфортная еда!очень просто сделать"
1,"Это было хорошо, но в следующий раз я оставлю хлопья красного перца."
0,"Я нахожу сокрадные из цельной пшеницы, как есть мокрые кусочки соломы.Ненавижу вкус.Но соус потрясающий"
0,"Худший рецепт для Павловы, не отказывайтесь от своей дневной работы"
1,"Отлично, мой муж действительно любил это.Спасибо."
0,"Кролик был в порядке, но остальная часть соуса была ужасной."
0,"Слишком торт, и это становится сырым, если вы оставите его на ночь (даже в герметичном контейнере)."
1,"влажный и вкусный !!И, тоже легко."
1,Исключительно вкусно и так легко сделать.
1,"Просто и так хорошо!Не для людей, которые не любят сладкий, но кто нет?"
1,"Это было очень вкусно, и мне понравился цвет."
0,"Я попробовал этот рецепт, и это похоже на есть конфеты, слишком много сахара."
0,"Я вообще не нашел этого вкуса.Если у вас будет шоколадный фондю, пойти на жир!"
1,Кокос дает интересный поворот.очень хороший:)
0,Даже не близко к великолепной стене шоколада лучше с пищевым тортом Devils.
0,Я не рекомендую этот рецепт.Очень сухой и совсем не хороший вкус.
0,Просто не было очень хорошим или чего я ожидал.выбросил это.извини....
1,"Это была моя первая попытка в кексах с нуля, и они были потрясающими!Легко сделать тоже!"
1,"Рецепт забыл сказать, чтобы использовать 1 стакан сахара в тесте.довольно хорошо.Торт и сладкий!"
0,Мы пройдем в следующий раз.извини.
1,очень вкусно !!!!!!Спасибо за рецепт!
1,"Мне это нравится, очень легко, все уже под рукой.потрясающий!"
1,Очень хорошо и освежает.
0,Этот рецепт не хорош.Очень плохие инструкции.Торт был большим провалом!Я должен был выбросить это.
1,"Лучшее, и вы можете заморозить его."
1,"Это здорово, быстро готовится!"
1,Легко и очень шоколад!
1,"Лучше, чем любой, вы можете получить в ресторане!"
0,Я буду искать.Ароматы не подходили для меня хорошо.
0,"Извините, это просто не было на вкус для меня.Я мог что -то пропустить."
1,очень быстро и легко.
0,"мне жаль.Я нашел это невозможным.может улучшиться, если что -то сладкое добавлено."
0,"Рецепт в порядке, возможно, добавить немного картофеля и бобов лучше, если в духовке станет сырой."
0,"Если вам нужен рецепт для этого !!!!Ну, вам, возможно, 10 лет ............"
1,"Это здорово с рецептом домашнего мороженого, который вы перечислили!я люблю это!"
0,"что я сделал не так?Я почти уверен, что следовал указаниям именно ... они были несъедобными !!!"
0,"Сделал все, что я должен был ... слишком много вкуса тмина ... просто плохой рецепт, а не техасский чили, который я думал."
0,"Эта глазурь была слишком сладкой для меня и людей, которые посетили вечеринку, на которую я взял ее."
1,"Это должен быть самый простой десерт, который я когда -либо готовил.Это было восхитительно, и детям это понравилось!"
1,"Вкус был отличным, легко сделать и ничего не изменил.Спасибо, Инес."
0,"Это вполне может быть хороший приготовленный на пару пудинг, но это не похоже на традиционный пятнистый член."
0,"Я обнаружил, что это немного сухое и безвкусное.Я сомневаюсь, что сделаю это снова."
1,"Очень мило, хорошо раздавать, когда на праздничных собраниях много детей."
0,"Я ищу рецепт, а не смесь торта."
1,"Так легко и вызывают привыкание, орехи можно добавить, я также использовал шоколадные чипсы из арахисового масла, вы также можете использовать ириски."
0,"Извините, я не могу рекомендовать этот рецепт.Я, к сожалению, согласен с Мэри74."
1,"Хороший базовый вкус и текстура, но не очень захватывающе - это может сделать более контрасты (цвет, текстура, вкусы)."
1,вкусный.Я заменяю лук шалотом и добавляю немного сельдерея.
1,"Я использовал это в качестве быстрой закуски в течение многих лет.Это так хорошо, и большинству мужчин это нравится."
0,"Я не знаю, сделал ли я что -то не так, но я подумал, что это на вкус ужасно, особенно соус."
0,"Эти печенья оказались сухими, плоскими и без вкуса- я сделал гораздо лучшее печенье с маслом."
1,"Хороший, легкий, вкусный и начинка."
1,"Только что сделал этот рецепт-это было так хорошо, я сделал это снова в качестве подарка для моего брата-он тоже любил его."
0,"не пытался попробовать, майонез не без яиц"
1,Очень легко сделать и вкусно загружаться.Мы также добавили несколько свежих трав для другого поворота.
0,Не тратьте свое время (или вырезку).Это было действительно плохо.Я выбросил большую часть этого.
1,Моим детям это понравилось.Цыпленка была такой нежной.Это хранитель наверняка.
1,"лавровый лист, свинина и оливковое масло.Вы не ошибетесь с этим ...."
1,"Это было здорово, и легко сделать, мне это просто понравилось."
0,"вышел маслянистую (кроме того, вы не можете или не должны публиковать рецепт другого человека), который зависит от них"
1,"Они получают 5 -звездочный рейтинг от меня!Они влажные и ооохх, такие шоколадные!"
1,"Они делают отличные подарки!Я заменяю бананы на тыкву, и они оказываются великолепными!Также попробуйте цуккини или морковь."
1,"Гораздо проще сделать, чем мой обычный рецепт булочки с корицей.вкусный.Моя семья в восторге."
1,"Это было действительно быстро, легко и очень вкусно!Это будет часто сделано в моем доме."
0,"Тесто слишком тонкое, печенье растопилось"
0,Слишком тяжелый ... совсем не легкий и пушистый
0,Рецепт практически невозможно следовать.
1,растопил во рту.
0,"Это не было сладким вообще.Мне они не нравились, и я больше не буду их делать."
0,"Я просто не вижу, как все эти разные мяса вместе пригодны для еды, извините.Я просто не знаю."
0,Количество ингредиентов необходимо для успешного приготовления пищи.
0,Даже не близко к реальной вещи .... извините.
0,"Этот рецепт написан таким образом, который невозможно попытаться следовать или понять.Это катастрофа."
1,Это было довольно хорошо.В следующий раз я попробую это с кукурузой вместо бобов.
1,орехи пекан - очень вкусное дополнение к старому фавориту
0,Слишком много уксуса.нужно быть ослабленным H2O.
1,"Я попробовал это с помощью оранжевого желатина и ломтиков мандарина.Клубника тоже звучит великолепно.Так просто, но так замечательно."
1,"Вкусочный прав. Черт возьми, и у него есть замечательный аромат. Снова сделает подарки и компанию. Спасибо !!!!"
